Price,Area,Width,Length,Bedrooms,Bathrooms,Floors,Alley Width,Agent Listing Count,is_luxury,District_Huyện Bình Chánh,District_Huyện Cần Giờ,District_Huyện Củ Chi,District_Huyện Hóc Môn,District_Huyện Nhà Bè,District_Huyện Thanh Quan,District_Quận 1,District_Quận 10,District_Quận 11,District_Quận 12,District_Quận 2,District_Quận 3,District_Quận 4,District_Quận 5,District_Quận 6,District_Quận 7,District_Quận 8,District_Quận 9,District_Quận Bình Thạnh,District_Quận Bình Tân,District_Quận Gò Vấp,District_Quận Phú Nhuận,District_Quận Thủ Đức,District_Quận Thủ Đức (Cũ),District_Quận Tân Bình,District_Quận Tân Phú,District_TP. Hồ Chí Minh,District_TP. Hồ Chí Minh(Mới),District_Unknown,"Property Type_Kho, nhà xưởng",Property Type_Khách sạn,Property Type_Nhà riêng,Property Type_Nhà trọ,Property Type_Văn phòng,Property Type_Đất,Position_Unknown,Position_Đường chính,Direction_Nam,Direction_Tây,Direction_Tây Bắc,Direction_Tây Nam,Direction_Unknown,Direction_Đông,Direction_Đông Bắc,Direction_Đông Nam,Road Type_Đường bê tông,Road Type_Đường nhựa,Road Type_Đường đá,Road Type_Đường đất,Agent Role_Môi giới
22000.0,107.3,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
9200.0,42.5,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
8500.0,63.3,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
14000.0,10283.7,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
26000.0,906.0,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
11000.0,93.5,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3500.0,176.0,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
19000.0,2870.8,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
6200.0,8046.9,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3400.0,96.9,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
4490.0,193.3,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
41000.0,416.0,7.1,58.0,5.0,5.0,3.0,8.0,2190.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
40000.0,660.0,6.5,22.0,2.0,2.0,3.0,8.0,2190.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
130000.0,1491.0,64.0,23.0,2.0,2.0,3.0,8.0,2190.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
45000.0,745.0,17.0,42.0,6.0,4.0,3.0,8.0,2190.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
75000.0,3222.0,6.5,22.0,2.0,2.0,3.0,16.0,2190.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
42500.0,746.0,17.0,42.0,8.0,7.0,3.0,8.0,2190.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
